path,source_group,route,route_name,website_features,columns,column_count,sample_count,sample_file,encoding,size_bytes,modified_at,scan_error
D:\蘇崇維\讀取結果\all_diagnosis_results_v2.csv,ai_results,ai_predictions,AI 判斷明細,AI目前判斷｜四分類機率｜Confidence｜歷史 AI 結果,station｜segment_number｜start_source_file｜end_source_file｜start_global_index｜end_global_index｜window_start_time｜window_end_time｜prediction_time｜class_id｜prediction｜prediction_zh｜final_result｜confidence｜second_class_id｜second_prediction_zh｜second_probability｜probability_margin｜is_uncertain｜is_abnormal｜normal_probability｜voltage_sag_probability｜load_spike_probability｜short_circuit_probability｜minimum_voltage｜maximum_current｜voltage_minimum_ratio｜current_maximum_ratio,28,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v2_b384bad2d40f.json,utf-8-sig,32390391,2026-07-24T12:56:47,
D:\蘇崇維\讀取結果\data_quality_v2.csv,ai_results,data_quality,資料品質,資料品質,file_name｜file_path｜status｜original_rows｜valid_rows｜removed_rows｜message｜global_duplicate_rows_removed｜global_time_gap_count,9,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\data_quality_v2_83f8d454028e.json,utf-8-sig,2189,2026-07-24T12:56:47,
D:\蘇崇維\讀取結果\detected_event_groups_v2.csv,ai_results,ai_events,異常事件,異常事件,station｜event_group｜first_detection_time｜last_detection_time｜detection_count｜dominant_class｜maximum_confidence｜start_source_file｜end_source_file,9,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\detected_event_groups_v2_326cf68bad9e.json,utf-8-sig,78838,2026-07-24T12:56:47,
D:\蘇崇維\讀取結果\diagnosis_summary_v2.csv,ai_results,diagnosis_summary,AI 診斷摘要,AI 結果統計｜正常與異常比例,station｜source_file｜first_prediction_time｜last_prediction_time｜total_windows｜normal_count｜voltage_sag_count｜load_spike_count｜short_circuit_count｜uncertain_count｜abnormal_count｜abnormal_rate｜average_confidence,13,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\diagnosis_summary_v2_91f735372de4.json,utf-8-sig,2782,2026-07-24T12:56:47,
D:\蘇崇維\讀取結果\tblGrid_predict_v3\all_diagnosis_results_v3.csv,ai_results,ai_predictions,AI 判斷明細,AI目前判斷｜四分類機率｜Confidence｜歷史 AI 結果,segment_id｜station｜window_start_index_in_segment｜window_end_index_in_segment｜window_start_time｜window_end_time｜prediction_time｜source_file_at_start｜source_file_at_end｜source_path_at_start｜source_path_at_end｜raw_predicted_class_id｜raw_predicted_class_key｜raw_predicted_class_zh｜confidence｜probability_margin｜voltage_minimum_ratio｜voltage_minimum｜voltage_baseline_mean｜current_maximum_ratio｜current_peak｜current_baseline_mean｜confidence_passed｜physical_gate_passed｜candidate_event｜gate_reason｜preliminary_result｜confirmed_event｜event_group_id｜final_result｜probability_normal｜probability_voltage_sag｜probability_load_spike｜probability_severe_anomaly,34,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v3_13c1587c89c0.json,utf-8-sig,47338913,2026-07-31T10:27:57,
D:\蘇崇維\讀取結果\tblGrid_predict_v3\data_quality_v3.csv,ai_results,data_quality,資料品質,資料品質,record_type｜file_name｜file_path｜status｜original_rows｜valid_rows｜removed_invalid_rows｜duplicate_rows_removed｜continuous_segments｜message,10,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\data_quality_v3_5dde1916e1d4.json,utf-8-sig,2331,2026-07-31T10:27:57,
D:\蘇崇維\讀取結果\tblGrid_predict_v3\detected_event_groups_v3.csv,ai_results,ai_events,異常事件,異常事件,event_group_id｜station｜class_id｜class_key｜class_name_zh｜detection_count｜first_detection_time｜last_detection_time｜detection_span_minutes｜covered_data_start_time｜covered_data_end_time｜mean_confidence｜maximum_confidence｜minimum_voltage_ratio｜maximum_current_ratio｜maximum_current_peak｜source_files,17,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\detected_event_groups_v3_305b3868221a.json,utf-8-sig,18146,2026-07-31T10:27:57,
D:\蘇崇維\讀取結果\tblGrid_predict_v3\diagnosis_summary_v3.csv,ai_results,diagnosis_summary,AI 診斷摘要,AI 結果統計｜正常與異常比例,summary_type｜result｜count｜percentage,4,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\diagnosis_summary_v3_3b700d00bdc9.json,utf-8-sig,702,2026-07-31T10:27:57,
D:\蘇崇維\讀取結果\tblGrid_predict_v3\prediction_by_file_v3.csv,ai_results,file_predictions,各檔案預測摘要,月份比較｜各檔案異常比例,file_name｜station｜window_count｜first_prediction_time｜last_prediction_time｜mean_confidence｜minimum_confidence｜uncertain_or_review_count｜physical_candidate_count｜confirmed_event_window_count｜confirmed_event_group_count｜raw_count_normal｜raw_ratio_normal｜raw_count_voltage_sag｜raw_ratio_voltage_sag｜raw_count_load_spike｜raw_ratio_load_spike｜raw_count_severe_anomaly｜raw_ratio_severe_anomaly,19,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\prediction_by_file_v3_339de77c96e9.json,utf-8-sig,4043,2026-07-31T10:27:57,
D:\蘇崇維\讀取結果\tblGrid_test_v3\tblGrid_test_calibration_bins_v3.csv,ai_results,unknown,尚未分類,,bin_lower｜bin_upper｜sample_count｜mean_confidence｜accuracy,5,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_calibration_bins_v3_3bd909b8a153.json,utf-8-sig,516,2026-07-24T14:50:52,
D:\蘇崇維\讀取結果\tblGrid_test_v3\tblGrid_test_class_metrics_v3.csv,ai_results,unknown,尚未分類,,class_id｜class_key｜class_name_zh｜precision｜recall｜f1_score｜support,7,4,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_class_metrics_v3_571523a7ec6e.json,utf-8-sig,384,2026-07-24T14:50:51,
D:\蘇崇維\讀取結果\tblGrid_test_v3\tblGrid_test_classification_report_v3.csv,ai_results,unknown,尚未分類,,class_or_average｜precision｜recall｜f1_score｜support,5,7,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_classification_report_v3_9072377143d9.json,utf-8-sig,508,2026-07-24T14:50:52,
