page,feature,available,status,required_columns,selection,source_file_count,source_files,sample_files
人工智能模型,AI目前判斷,True,可使用,prediction_time｜final_result｜raw_predicted_class_zh,依 prediction_time 取最新一筆,2,D:\蘇崇維\讀取結果\all_diagnosis_results_v2.csv｜D:\蘇崇維\讀取結果\tblGrid_predict_v3\all_diagnosis_results_v3.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v2_b384bad2d40f.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v3_13c1587c89c0.json
人工智能模型,四分類機率,True,可使用,prediction_time｜probability_normal｜probability_voltage_sag｜probability_load_spike｜probability_severe_anomaly,目前畫面取最新一筆；趨勢圖可取時間範圍,2,D:\蘇崇維\讀取結果\all_diagnosis_results_v2.csv｜D:\蘇崇維\讀取結果\tblGrid_predict_v3\all_diagnosis_results_v3.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v2_b384bad2d40f.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v3_13c1587c89c0.json
人工智能模型,Confidence,True,可使用,prediction_time｜confidence｜probability_margin｜confidence_passed,依 prediction_time 取最新一筆,2,D:\蘇崇維\讀取結果\all_diagnosis_results_v2.csv｜D:\蘇崇維\讀取結果\tblGrid_predict_v3\all_diagnosis_results_v3.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v2_b384bad2d40f.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v3_13c1587c89c0.json
人工智能模型,異常事件,True,可使用,event_group_id｜class_name_zh｜first_detection_time｜last_detection_time｜detection_span_minutes｜mean_confidence｜maximum_confidence｜source_files,依 first_detection_time 由新到舊,2,D:\蘇崇維\讀取結果\detected_event_groups_v2.csv｜D:\蘇崇維\讀取結果\tblGrid_predict_v3\detected_event_groups_v3.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\detected_event_groups_v2_326cf68bad9e.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\detected_event_groups_v3_305b3868221a.json
人工智能模型,歷史 AI 結果,True,可使用,prediction_time｜station｜final_result｜confidence｜probability_normal｜probability_voltage_sag｜probability_load_spike｜probability_severe_anomaly,依 prediction_time 查詢指定時間範圍,2,D:\蘇崇維\讀取結果\all_diagnosis_results_v2.csv｜D:\蘇崇維\讀取結果\tblGrid_predict_v3\all_diagnosis_results_v3.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v2_b384bad2d40f.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\all_diagnosis_results_v3_13c1587c89c0.json
人工智能模型,資料品質,True,可使用,file_name｜status｜original_rows｜valid_rows｜removed_invalid_rows｜duplicate_rows_removed｜message,顯示全部檔案，或依 file_name 篩選,3,D:\蘇崇維\讀取結果\data_quality_v2.csv｜D:\蘇崇維\讀取結果\tblGrid_predict_v3\data_quality_v3.csv｜D:\蘇崇維\讀取結果\tblGrid_test_v4\tblGrid_test_feature_quality_v4.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\data_quality_v2_83f8d454028e.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\data_quality_v3_5dde1916e1d4.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_test_feature_quality_v4_0c336dc688ea.json
CNN監測,三相電壓,True,可使用,TimeStamp｜Station｜VoltageL1｜VoltageL2｜VoltageL3,依 TimeStamp 讀取指定時間範圍,20,D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_01.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_02.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_03.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_04.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_05.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_06.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_07.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_08.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_09.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_10.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_11.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_12.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_01.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_02.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_03.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_04.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_05.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_06.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_07.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_08.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_01_04e7adb1c299.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_02_1585d3976ccf.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_03_943706f3534e.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_04_3b2a062f1961.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_05_dfe3d689dded.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_06_8440a3b25311.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_07_856f5e0e874e.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_08_88cb36e05c99.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_09_d35d74ed63d7.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_10_204619f87a3d.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_11_141e70fcd4aa.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_12_bf6bbeb83c2b.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_01_a00b854990a0.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_02_f7e7196714fa.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_03_1ac1976aa339.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_04_34d13d5c1f12.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_05_e92ffd178195.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_06_ecadd6d23def.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_07_2c8e17b778e4.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_08_27738a62d7d0.json
CNN監測,三相電流,True,可使用,TimeStamp｜Station｜CurrentL1｜CurrentL2｜CurrentL3,依 TimeStamp 讀取指定時間範圍,20,D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_01.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_02.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_03.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_04.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_05.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_06.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_07.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_08.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_09.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_10.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_11.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_12.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_01.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_02.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_03.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_04.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_05.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_06.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_07.csv｜D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_08.csv,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_01_04e7adb1c299.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_02_1585d3976ccf.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_03_943706f3534e.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_04_3b2a062f1961.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_05_dfe3d689dded.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_06_8440a3b25311.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_07_856f5e0e874e.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_08_88cb36e05c99.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_09_d35d74ed63d7.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_10_204619f87a3d.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_11_141e70fcd4aa.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_12_bf6bbeb83c2b.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_01_a00b854990a0.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_02_f7e7196714fa.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_03_1ac1976aa339.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_04_34d13d5c1f12.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_05_e92ffd178195.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_06_ecadd6d23def.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_07_2c8e17b778e4.json｜C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_08_27738a62d7d0.json
CNN監測,即時曲線,False,目前缺少資料來源,,目前沒有即時來源；tblGrid CSV 只能做歷史回放,0,,
CNN監測,Raspberry Pi 狀態,False,目前缺少資料來源,,目前缺少 Raspberry Pi 心跳或裝置狀態資料,0,,
